caseid,midprice
1,3.4388282
2,3.4372776
3,3.4329185
4,3.4330778
5,3.4286501
6,3.4159431
7,3.426737
8,3.4308794
9,3.4339395
10,3.4341288
11,3.4319165
12,3.436686
13,3.4327326
14,3.4317343
15,3.434346
16,3.436166
17,3.4253972
18,3.4200869
19,3.4231095
20,3.4174035
21,3.4140172
22,3.4085133
23,3.4034173
24,3.4004292
25,3.406808
26,3.4065495
27,3.4051774
28,3.4039903
29,3.4018214
30,3.4098563
31,3.4084864
32,3.4084883
33,3.4077845
34,3.4051716
35,3.4061387
36,3.3981407
37,3.4026663
38,3.4033246
39,3.402823
40,3.4116414
41,3.396332
42,3.3871918
43,3.3946385
44,3.398038
45,3.3985333
46,3.3988836
47,3.3974786
48,3.393308
49,3.3893547
50,3.3916018
51,3.39237
52,3.3901644
53,3.3908513
54,3.3901265
55,3.3896246
56,3.3875983
57,3.3872306
58,3.3891234
59,3.3834918
60,3.381208
61,3.386991
62,3.38993
63,3.3910482
64,3.3903408
65,3.3930573
66,3.3922513
67,3.4026558
68,3.3910654
69,3.3980358
70,3.3890238
71,3.3996685
72,3.3919728
73,3.384669
74,3.3848472
75,3.3915944
76,3.391233
77,3.3913417
78,3.3928368
79,3.3951626
80,3.4056172
81,3.4007287
82,3.402444
83,3.3998475
84,3.4000065
85,3.4024382
86,3.4037418
87,3.398281
88,3.4027812
89,3.400867
90,3.401476
91,3.3912284
92,3.4006507
93,3.3969164
94,3.4007874
95,3.3989823
96,3.397061
97,3.3948755
98,3.3934407
99,3.3996048
100,3.4039428
101,3.4000647
102,3.3989253
103,3.4004843
104,3.391369
105,3.399956
106,3.3979206
107,3.3935442
108,3.3910747
109,3.3918426
110,3.3880947
111,3.451104
112,3.3813167
113,3.3970287
114,3.3857906
115,3.3882837
116,3.3949041
117,3.399297
118,3.3905332
119,3.3833978
120,3.380477
121,3.3804357
122,3.3837447
123,3.3883164
124,3.3778086
125,3.375224
126,3.373069
127,3.3643022
128,3.376893
129,3.3800101
130,3.362092
131,3.3659406
132,3.3637455
133,3.36067
134,3.372387
135,3.3583267
136,3.3654878
137,3.3645418
138,3.4162657
139,3.3590395
140,3.354334
141,3.351892
142,3.3386528
143,3.364047
144,3.3725352
145,3.364904
146,3.36532
147,3.361117
148,3.3610542
149,3.3523808
150,3.3583403
151,3.3697197
152,3.371109
153,3.3664541
154,3.3751814
155,3.3579738
156,3.3681676
157,3.3758304
158,3.371528
159,3.3713198
160,3.3683975
161,3.3670533
162,3.365099
163,3.3614013
164,3.3615458
165,3.3634758
166,3.3633368
167,3.364222
168,3.368196
169,3.3623128
170,3.3594794
171,3.3568425
172,3.3537796
173,3.3488772
174,3.3550959
175,3.352324
176,3.3421836
177,3.3491557
178,3.3557248
179,3.3543863
180,3.3569376
181,3.3524609
182,3.3462327
183,3.3520975
184,3.355117
185,3.3558378
186,3.3546433
187,3.365282
188,3.368208
189,3.373065
190,3.3670099
191,3.3665855
192,3.3638508
193,3.365519
194,3.3655677
195,3.3656292
196,3.3666115
197,3.3653045
198,3.3602774
199,3.3587961
200,3.3602865
201,3.3581176
202,3.3572142
203,3.3584921
204,3.356847
205,3.3569744
206,3.3583615
207,3.3592036
208,3.3561637
209,3.3599546
210,3.3589954
211,3.353513
212,3.353098
213,3.3539717
214,3.3495128
215,3.356946
216,3.3509483
217,3.3508701
218,3.3495023
219,3.3530552
220,3.3552418
221,3.3484323
222,3.3489842
223,3.3490717
224,3.3448668
225,3.3493583
226,3.3519986
227,3.3561964
228,3.3499067
229,3.3477225
230,3.3472838
231,3.3393807
232,3.348561
233,3.352633
234,3.3513207
235,3.3543487
236,3.3546028
237,3.356672
238,3.3576996
239,3.3621893
240,3.3586774
241,3.356826
242,3.3588703
243,3.35925
244,3.377723
245,3.3811555
246,3.3774862
247,3.3757203
248,3.3721383
249,3.3771572
250,3.3746629
251,3.3818252
252,3.376144
253,3.379749
254,3.3724754
255,3.3704643
256,3.370853
257,3.3699124
258,3.3636262
259,3.3566756
260,3.3592496
261,3.358231
262,3.3586314
263,3.3590815
264,3.361081
265,3.3526344
266,3.3524623
267,3.3525076
268,3.3443923
