caseid,midprice
143,3.3550208
144,3.3664274
145,3.3621714
146,3.3533714
147,3.3486516
148,3.3535624
149,3.349806
150,3.347118
151,3.3569813
152,3.3636394
153,3.357877
154,3.3790946
155,3.34115
156,3.3591847
157,3.3656855
158,3.3634462
159,3.3654003
160,3.3597276
161,3.3610282
162,3.3575022
163,3.3527365
164,3.352791
165,3.3535721
166,3.355634
167,3.3532789
168,3.361232
169,3.3568316
170,3.3471243
171,3.3483295
172,3.3463004
173,3.3404891
174,3.3459558
175,3.3433704
176,3.3370721
177,3.3421204
178,3.3480997
179,3.3456113
180,3.351009
181,3.3419416
182,3.3378742
183,3.3445039
184,3.3469908
185,3.3478954
186,3.3465183
187,3.3579953
188,3.36114
189,3.3623343
190,3.3597472
191,3.3596115
192,3.3604512
193,3.3590417
194,3.360374
195,3.3585541
196,3.3624585
197,3.357905
198,3.3503318
199,3.35424
200,3.3534467
201,3.3509316
202,3.3501916
203,3.3514924
204,3.3543768
205,3.3501618
206,3.351834
207,3.3523996
208,3.3530238
209,3.352771
210,3.3524306
211,3.345781
212,3.3493166
213,3.3465242
214,3.3447552
215,3.3462665
216,3.3499136
217,3.3449526
218,3.3439622
219,3.3454955
220,3.3454645
221,3.3409092
222,3.338856
223,3.3423834
224,3.3405085
225,3.3420959
226,3.3462682
227,3.3489249
228,3.3440533
229,3.3403776
230,3.3357494
231,3.331394
232,3.3393269
233,3.3439202
234,3.34304
235,3.340745
236,3.3438232
237,3.346605
238,3.3496888
239,3.3523316
240,3.3519664
241,3.3493035
242,3.3507044
243,3.351822
244,3.365275
245,3.3704846
246,3.371184
247,3.3680527
248,3.3657436
249,3.370125
250,3.3652282
251,3.375661
252,3.3766406
253,3.36979
254,3.3632486
255,3.3628001
256,3.364995
257,3.3600938
258,3.3543732
259,3.3509295
260,3.3499248
261,3.3475807
262,3.3498657
263,3.3505561
264,3.3506322
265,3.3461864
266,3.3426256
267,3.34287
268,3.3325272
269,3.32396
270,3.332324
271,3.3265076
272,3.3294766
273,3.3289769
274,3.311313
275,3.3157544
276,3.3169112
277,3.3212695
278,3.3294153
279,3.3237102
280,3.3239565
281,3.3246639
282,3.3253403
283,3.329063
284,3.3338344
285,3.3377228
286,3.3351934
287,3.3364797
288,3.3417866
289,3.3348963
290,3.3351982
291,3.3356857
292,3.3404832
293,3.3498707
294,3.348449
295,3.3497646
296,3.3493786
297,3.348022
298,3.3502502
299,3.3459785
300,3.3454108
301,3.3457336
302,3.339174
303,3.35047
304,3.3471332
305,3.3390772
306,3.3389268
307,3.3388503
308,3.338239
309,3.340748
310,3.3401513
311,3.3537457
312,3.3518267
313,3.346187
314,3.3460248
315,3.3430266
316,3.34481
317,3.342309
318,3.348262
319,3.3419664
320,3.3463614
321,3.3487303
322,3.3463147
323,3.3465595
324,3.346122
325,3.3392968
326,3.347374
327,3.3420959
328,3.340932
329,3.3565652
330,3.3419473
331,3.3493001
332,3.3493824
333,3.2413065
334,3.236991
335,3.2507315
336,3.2457545
337,3.2479377
338,3.256501
339,3.249901
340,3.2505043
341,3.2638664
342,3.261322
343,3.2585404
344,3.2545717
345,3.2550454
346,3.2509756
347,3.2501903
348,3.2525005
349,3.251143
350,3.2561905
351,3.2579691
352,3.2620769
353,3.2576346
354,3.2638314
355,3.2638617
356,3.2659595
357,3.2657068
358,3.2603388
359,3.2603395
360,3.262749
361,3.2553947
362,3.255322
363,3.2597826
364,3.2565503
365,3.2498953
366,3.232309
367,3.2337549
368,3.2409906
369,3.2423553
370,3.2385082
371,3.2420976
372,3.2464862
373,3.2391706
374,3.2339566
375,3.2364662
376,3.231657
377,3.2269523
378,3.2252698
379,3.217333
380,3.2312143
381,3.2309036
382,3.2223628
383,3.2170765
384,3.2204978
385,3.201662
386,3.2234194
387,3.2252057
388,3.1914065
389,3.2194448
390,3.2224233
391,3.2233462
392,3.2306378
393,3.2378159
394,3.2262256
395,3.2345753
396,3.242032
397,3.2442234
398,3.2497637
399,3.2397292
400,3.2325056
401,3.2432265
402,3.2319086
403,3.2434537
404,3.2345488
405,3.2427938
406,3.2480955
407,3.2336335
408,3.2438672
409,3.2436907
410,3.2419262
411,3.2414553
412,3.2460558
413,3.2396476
414,3.2481766
415,3.238436
416,3.2549765
417,3.230593
418,3.2530138
419,3.273932
420,3.242761
421,3.2346876
422,3.2343795
423,3.232698
424,3.247258
425,3.2482727
426,3.2507193
427,3.263012
428,3.2693071
429,3.1700058
430,3.1608388
431,3.1700456
432,3.1875255
433,3.180502
434,3.1776223
435,3.1763434
436,3.185739
437,3.1801429
438,3.1756883
439,3.177117
440,3.1731703
441,3.1698923
442,3.1733606
443,3.1651928
444,3.1695309
445,3.174911
446,3.1808908
447,3.1842687
448,3.1826804
449,3.1851156
450,3.1914127
451,3.1771643
452,3.1814222
453,3.1746235
454,3.177277
455,3.1705375
456,3.172609
457,3.1732025
458,3.1700408
459,3.1624014
460,3.1604354
461,3.1678157
462,3.1603346
463,3.170647
464,3.1720307
465,3.1819942
466,3.1800797
467,3.180191
468,3.1818957
469,3.1820474
470,3.196457
471,3.1903973
472,3.1985233
473,3.20847
474,3.2124255
475,3.2159736
476,3.2226741
477,3.2203844
478,3.230308
479,3.2297804
480,3.234947
481,3.231481
482,3.2365253
483,3.2273614
484,3.2349555
485,3.2360396
486,3.2394783
487,3.2464585
488,3.2489412
489,3.242767
490,3.2379277
491,3.2491019
492,3.2411802
493,3.2445235
494,3.2518156
495,3.2499957
496,3.247284
497,3.2453113
498,3.2357068
499,3.2513518
500,3.25009
501,3.2267034
502,3.2580783
503,3.2622514
504,3.2486458
505,3.2596972
506,3.252359
507,3.2531335
508,3.2557793
509,3.2616613
510,3.2580664
511,3.2535279
512,3.2611887
513,3.2730632
514,3.2663896
515,3.263259
516,3.264546
517,3.2643144
518,3.2574525
519,3.2589576
520,3.2725751
521,3.2632964
522,3.2673185
523,3.2606978
524,3.2705305
525,3.2256718
526,3.2205274
527,3.2087743
528,3.221121
529,3.2244215
530,3.2100751
531,3.2066176
532,3.206388
533,3.2134285
534,3.2132719
535,3.2152233
536,3.220167
537,3.2305486
538,3.229116
539,3.2263427
540,3.2297995
541,3.2264364
542,3.221876
543,3.2163272
544,3.219254
545,3.217753
546,3.2137122
547,3.2144673
548,3.2114794
549,3.2157726
550,3.2089553
551,3.2088895
552,3.2058594
553,3.2111156
554,3.208875
555,3.2112305
556,3.2111502
557,3.2142568
558,3.2141743
559,3.2102072
560,3.20691
561,3.209156
562,3.209962
563,3.2105954
564,3.2133994
565,3.2045238
566,3.2045138
567,3.204342
568,3.1995347
569,3.1899047
570,3.1919804
571,3.1944683
572,3.193189
573,3.1966014
574,3.2001488
575,3.1998131
576,3.198226
577,3.2000136
578,3.2018404
579,3.2036073
580,3.198056
581,3.2013633
582,3.1999414
583,3.1995502
584,3.203458
585,3.2070267
586,3.2073276
587,3.2018552
588,3.2029076
589,3.200668
590,3.2039406
591,3.208763
592,3.2008684
593,3.2019448
594,3.201721
595,3.2042944
596,3.198306
597,3.2048686
598,3.2037046
599,3.2030575
600,3.2048192
601,3.2136881
602,3.1926982
603,3.200015
604,3.1990921
605,3.1929538
606,3.1955802
607,3.1973908
608,3.1997354
609,3.196204
610,3.1952765
611,3.1898773
612,3.1976721
613,3.1985643
614,3.1963887
615,3.1951554
616,3.1946194
617,3.196507
618,3.2031085
619,3.1937768
620,3.1952188
621,3.1896694
